City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
287,gizo,-8.103,156.8419,27.24,79,100,3.91,SB,1722212398
288,yeniseysk,58.4497,92.1703,22.85,66,44,2.61,RU,1722212400
289,berdigestyakh,62.0989,126.6992,21.23,56,99,1.37,RU,1722212401
290,zahedan,29.4963,60.8629,25.95,24,0,2.06,IR,1722212402
291,tofol,5.3248,163.0078,30.88,70,100,3.09,FM,1722212403
292,tibu,8.639,-72.7358,26.62,80,66,0.77,CO,1722212404
293,kenai,60.5544,-151.2583,13.97,91,100,2.06,US,1722212405
294,el ejido,36.7763,-2.8146,26.53,53,78,0.72,ES,1722212406
295,chipinge,-20.1883,32.6236,15.1,34,1,0.4,ZW,1722212407
296,juneau,58.3019,-134.4197,17.0,67,75,2.57,US,1722212408
297,port douglas,-16.4833,145.4667,22.58,79,95,6.47,AU,1722212409
298,san antonio de pale,-1.4014,5.6325,22.71,77,62,5.96,GQ,1722212411
299,yaren,-0.5472,166.916,27.98,74,98,2.91,NR,1722212412
300,pitimbu,-7.4706,-34.8086,25.33,85,8,5.93,BR,1722212413
301,mahanoro,-19.9,48.8,18.99,91,2,2.79,MG,1722212414
302,inhambane,-23.865,35.3833,19.17,89,0,3.44,MZ,1722212415
303,sao gabriel da cachoeira,-0.1303,-67.0892,24.49,89,48,1.48,BR,1722212417
304,ta`u,-14.2336,-169.5144,24.85,64,63,9.56,AS,1722212418
305,kirakira,-10.4544,161.9205,28.63,64,72,4.98,SB,1722212419
306,portland,45.5234,-122.6762,25.56,54,20,1.34,US,1722212239
307,lang suan,9.9456,99.0785,25.6,87,100,1.56,TH,1722212421
308,bornu yassu,12.2774,12.5552,25.7,77,100,4.48,NG,1722212422
309,torghay,49.6339,63.4981,18.94,48,29,3.18,KZ,1722212424
310,spanish wells,26.323,-81.7957,31.1,63,0,2.57,US,1722212425
311,minas de marcona,-15.2119,-75.1103,11.39,82,12,4.68,PE,1722212428
312,zambezi,-13.5432,23.1047,12.34,21,1,2.02,ZM,1722212429
313,preobrazheniye,42.9019,133.9064,25.22,86,87,2.42,RU,1722212430
314,robbah,33.2797,6.9098,30.8,37,0,6.71,DZ,1722212431
315,comodoro rivadavia,-45.8667,-67.5,5.92,45,0,4.63,AR,1722212432
316,katsuren-haebaru,26.3369,127.8719,31.21,78,20,5.14,JP,1722212433
317,charters towers,-20.1,146.2667,17.53,35,19,7.91,AU,1722212434
318,balykchy,42.4557,76.1861,19.12,62,0,0.35,KG,1722212435
319,hanzhong,33.0728,107.0303,25.36,74,72,0.54,CN,1722212459
320,acapulco de juarez,16.8634,-99.8901,30.9,70,75,5.14,MX,1722212230
321,nelson,-41.2833,173.2833,13.49,94,100,2.24,NZ,1722212461
322,weno,7.4515,151.8468,28.56,77,99,1.77,FM,1722212462
323,es castell,39.8795,4.2854,26.38,83,0,5.66,ES,1722212463
324,holualoa,19.6228,-155.9522,28.08,70,75,6.17,US,1722212225
325,filingue,14.3521,3.3168,27.97,69,99,5.12,NE,1722212465
326,kerikeri,-35.2268,173.9474,16.62,85,100,5.81,NZ,1722212466
327,susuman,62.7833,148.1667,16.62,46,75,1.5,RU,1722212469
328,richards bay,-28.783,32.0377,18.54,54,100,4.0,ZA,1722212470
329,gadzhiyevo,69.2551,33.3362,11.11,85,99,2.02,RU,1722212471
330,plast,54.3691,60.8136,11.65,83,100,4.87,RU,1722212472
331,talnakh,69.4865,88.3972,20.82,51,70,2.46,RU,1722212473
332,bandar lampung,-5.4254,105.258,22.75,89,58,0.67,ID,1722212474
333,puerto quijarro,-17.7833,-57.7667,24.29,25,0,0.54,BO,1722212477
334,uturoa,-16.7333,-151.4333,26.53,83,6,8.25,PF,1722212478
335,mossendjo,-2.9506,12.7261,16.93,97,95,1.21,CG,1722212479
336,agadez,19.75,10.25,29.87,51,63,7.81,NE,1722212480
337,walvis bay,-22.9575,14.5053,8.94,87,0,2.06,NA,1722212483
338,pangai,-19.8,-174.35,24.06,53,20,5.66,TO,1722212484
339,santa terezinha,-29.9002,-50.0904,15.84,95,97,3.29,BR,1722212487
340,vila velha,-20.3297,-40.2925,23.97,85,40,5.81,BR,1722212228
341,roma,43.2128,-75.4557,25.08,62,0,2.06,US,1722212489
342,kruisfontein,-34.0033,24.7314,8.27,77,87,8.2,ZA,1722212490
343,mandan,46.8267,-100.8896,27.99,48,0,4.12,US,1722212386
344,pisco,-13.7,-76.2167,16.03,88,100,2.06,PE,1722212493
345,thala,35.5724,8.6703,22.59,48,0,2.58,TN,1722212494
346,acarau,-2.8856,-40.12,25.29,80,27,7.02,BR,1722212495
347,nurmes,63.5421,29.1397,13.86,91,69,1.74,FI,1722212497
348,vorgashor,67.5833,63.95,14.64,86,87,5.47,RU,1722212475
349,puerto deseado,-47.7503,-65.8938,3.32,62,93,8.46,AR,1722212499
350,cintalapa de figueroa,16.7333,-93.7167,23.56,95,94,2.15,MX,1722212500
351,aginskoye,51.1,114.53,23.76,59,37,2.19,RU,1722212501
352,argo,37.6333,22.7333,24.88,49,0,1.91,GR,1722212502
353,ulanhot,46.0833,122.0833,24.08,76,25,3.23,CN,1722212503
354,natal,-5.795,-35.2094,25.36,83,0,4.63,BR,1722212308
355,bogande,12.9714,-0.1436,23.83,88,99,2.2,BF,1722212505
356,lospalos,-8.5186,127.0025,24.19,78,100,4.45,TL,1722212506
357,portoferraio,42.8115,10.3146,25.65,60,1,5.66,IT,1722212509
358,zima,53.9202,102.0442,21.15,88,9,1.06,RU,1722212510
359,akdepe,42.0551,59.3788,27.05,34,92,8.0,TM,1722212511
360,anna regina,7.2644,-58.5077,26.91,83,30,2.89,GY,1722212512
361,chibougamau,49.9168,-74.3659,24.79,50,0,4.12,CA,1722212513
362,vilyuysk,63.7553,121.6247,20.17,71,98,0.71,RU,1722212514
363,anadyr,64.75,177.4833,13.28,43,0,4.0,RU,1722212515
